study	sample	experiment	run	ftp
SRP028804	SRS469403	SRX334149	SRR950989	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950989/SRR950989.sra
SRP028804	SRS469394	SRX334140	SRR950980	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950980/SRR950980.sra
SRP028804	SRS469412	SRX334158	SRR950998	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950998/SRR950998.sra
SRP028804	SRS618148	SRX550406	SRR1295935	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295935/SRR1295935.sra
SRP028804	SRS469404	SRX334150	SRR950990	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950990/SRR950990.sra
SRP028804	SRS618120	SRX550378	SRR1295907	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295907/SRR1295907.sra
SRP028804	SRS618144	SRX550402	SRR1295931	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295931/SRR1295931.sra
SRP028804	SRS618153	SRX550411	SRR1295940	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295940/SRR1295940.sra
SRP028804	SRS469409	SRX334155	SRR950995	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950995/SRR950995.sra
SRP028804	SRS618145	SRX550403	SRR1295932	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295932/SRR1295932.sra
SRP028804	SRS618134	SRX550392	SRR1295921	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295921/SRR1295921.sra
SRP028804	SRS618156	SRX550414	SRR1295943	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295943/SRR1295943.sra
SRP028804	SRS469401	SRX334147	SRR950987	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950987/SRR950987.sra
SRP028804	SRS618152	SRX550410	SRR1295939	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295939/SRR1295939.sra
SRP028804	SRS469429	SRX334175	SRR951017	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951017/SRR951017.sra
SRP028804	SRS618160	SRX550418	SRR1295947	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295947/SRR1295947.sra
SRP028804	SRS469424	SRX334170	SRR951012	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951012/SRR951012.sra
SRP028804	SRS469407	SRX334153	SRR950993	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950993/SRR950993.sra
SRP028804	SRS469411	SRX334157	SRR950997	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950997/SRR950997.sra
SRP028804	SRS469430	SRX334176	SRR951018	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951018/SRR951018.sra
SRP028804	SRS618131	SRX550389	SRR1295918	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295918/SRR1295918.sra
SRP028804	SRS618128	SRX550386	SRR1295915	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295915/SRR1295915.sra
SRP028804	SRS618142	SRX550400	SRR1295929	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295929/SRR1295929.sra
SRP028804	SRS618150	SRX550408	SRR1295937	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295937/SRR1295937.sra
SRP028804	SRS469397	SRX334143	SRR950983	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950983/SRR950983.sra
SRP028804	SRS618132	SRX550390	SRR1295919	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295919/SRR1295919.sra
SRP028804	SRS618149	SRX550407	SRR1295936	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295936/SRR1295936.sra
SRP028804	SRS618135	SRX550393	SRR1295922	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295922/SRR1295922.sra
SRP028804	SRS618141	SRX550399	SRR1295928	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295928/SRR1295928.sra
SRP028804	SRS469421	SRX334167	SRR951009	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951009/SRR951009.sra
SRP028804	SRS469389	SRX334135	SRR951001	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951001/SRR951001.sra
SRP028804	SRS618138	SRX550396	SRR1295925	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295925/SRR1295925.sra
SRP028804	SRS618139	SRX550397	SRR1295926	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295926/SRR1295926.sra
SRP028804	SRS469431	SRX334177	SRR951019	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951019/SRR951019.sra
SRP028804	SRS618136	SRX550394	SRR1295923	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295923/SRR1295923.sra
SRP028804	SRS469427	SRX334173	SRR951015	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951015/SRR951015.sra
